cmd_vel_x,cmd_vel_y,cmd_vel_z,cmd_ang_x,cmd_ang_y,cmd_ang_z,orient_x,orient_y,orient_z,orient_w,imu_ang_x,imu_ang_y,imu_ang_z,imu_accel_x,imu_accel_y,imu_accel_z,quaternion_norm,roll,pitch,yaw,imu_ang_magnitude,imu_accel_magnitude,delta_roll,delta_pitch,delta_yaw
0.1,0,0,0,0,0.3,-0.000111837,0.002876551,0.193289523,0.98113754,0.001755507,0.004896096,0.300030431,-0.033542054,0.066849699,9.786279816,1,0.397645643,0.198426389,-0.366957821,1.016997487,-0.044379455,0.000818627,0.001059213,0.085917808
0.1,0,0,0,0,0.3,-0.000108705,0.002886436,0.194024937,0.980992345,0.00213082,0.004274317,0.299786907,-0.049399466,-0.049440949,9.226955504,1,0.412268216,0.214418202,-0.364552045,1.015624823,-1.23667579,0.000816181,0.001003094,0.085902073
0.1,0,0,0,0,0.3,-0.000105577,0.002896174,0.194760233,0.9808466,0.001853764,0.004457407,0.299892874,-0.048668714,0.010200418,10.41377583,1,0.426849845,0.230132947,-0.362146297,1.016209786,1.292830011,0.000813896,0.000985715,0.085901113
0.1,0,0,0,0,0.3,-0.000102561,0.002906405,0.195495603,0.980700266,0.001848351,0.004415608,0.29972113,-0.041746136,0.096146046,9.552173693,1,0.441433974,0.246754449,-0.359739945,1.015265472,-0.542781624,0.000814036,0.001042592,0.085922645
0.1,0,0,0,0,0.3,-9.95E-05,0.00291595,0.196230682,0.980553419,0.002067477,0.004373521,0.299829637,-0.086300023,0.012311637,9.598747045,1,0.455957003,0.262095942,-0.357334187,1.015864286,-0.443888294,0.000810625,0.000962302,0.08590142
0.1,0,0,0,0,0.3,-9.64E-05,0.002925632,0.19696574,0.980406002,0.001987911,0.004249999,0.300056375,-0.072329963,0.054453155,10.29485668,1,0.470453742,0.277685511,-0.354928138,1.017093597,1.039938387,0.000809158,0.000977863,0.085911837
0.1,0,0,0,0,0.3,-9.34E-05,0.002935466,0.197700772,0.980258017,0.002098923,0.004131542,0.299586392,-0.025460569,0.085324868,9.03506887,1,0.484934583,0.293551288,-0.352521813,1.014514274,-1.645328817,0.00080827,0.000995188,0.085921701
0.1,0,0,0,0,0.3,-9.03E-05,0.002944386,0.198435461,0.98010953,0.001835054,0.004099164,0.300051908,-0.104616846,0.021816492,10.06163587,1,0.499334095,0.30771459,-0.350116248,1.0170523,0.543167878,0.000803731,0.0008884,0.085894542
0.1,0,0,0,0,0.3,-8.72E-05,0.002953661,0.199170212,0.979960456,0.002089762,0.003966368,0.299631049,-0.02901504,0.032277926,10.30523322,1,0.513719055,0.322531045,-0.347710111,1.014746314,1.061403183,0.000802919,0.000929369,0.085914986
0.1,0,0,0,0,0.3,-8.42E-05,0.002962815,0.199904864,0.979810829,0.002126962,0.003504692,0.300066154,-0.058697578,0.058065135,8.860681889,1,0.528071305,0.33711691,-0.345303934,1.017099632,-2.017166042,0.000801093,0.000914905,0.085916396
0.1,0,0,0,0,0.3,-8.10E-05,0.002971191,0.200639233,0.979660688,0.002176248,0.003802219,0.30008533,-0.079072117,0.015403098,10.35403687,1,0.542343056,0.350255103,-0.342898318,1.01722645,1.165905852,0.0007966,0.000824099,0.085896374
0.1,0,0,0,0,0.3,-7.80E-05,0.002980003,0.201373703,0.979509952,0.002102717,0.00401226,0.300277474,-0.018324067,0.084323683,9.671183399,1,0.556604922,0.364195408,-0.340492001,1.018291061,-0.289506707,0.000796048,0.000874412,0.085921405
0.1,0,0,0,0,0.3,-7.48E-05,0.002988052,0.202107883,0.979358703,0.002166072,0.002997062,0.29956159,-0.037648984,0.051295042,9.096207843,1,0.570794559,0.376715484,-0.338086265,1.014307095,-1.515466338,0.000792016,0.000785328,0.085900656
0.1,0,0,0,0,0.3,-7.16E-05,0.002995597,0.202841896,0.979206917,0.002196435,0.003486217,0.29993084,-0.080732104,-0.021889235,10.6921864,1,0.58491289,0.388294941,-0.335680704,1.016359976,1.886732173,0.000788036,0.000726327,0.085894402
0.1,0,0,0,0,0.3,-6.85E-05,0.003003519,0.203576013,0.979054534,0.001748112,0.003393075,0.300041567,-0.026178026,0.128697815,9.406620041,1,0.599018242,0.400568709,-0.333274429,1.016944518,-0.852314287,0.000787312,0.000769878,0.085919906
0.1,0,0,0,0,0.3,-6.53E-05,0.003010459,0.204309795,0.97890165,0.001889559,0.003356128,0.299919679,-0.080645326,0.019508489,9.516660672,1,0.613031959,0.411015894,-0.330868882,1.016279258,-0.618935763,0.000782197,0.000655305,0.085893929
0.1,0,0,0,0,0.3,-6.20E-05,0.003017257,0.205043544,0.978748199,0.00228344,0.00353116,0.300034814,-0.067422148,0.051770195,10.55925579,1,0.626990375,0.421195806,-0.328463064,1.016935957,1.603410217,0.00077911,0.00063854,0.085903565
0.1,0,0,0,0,0.3,-5.87E-05,0.003023942,0.205777255,0.978594182,0.001894322,0.003334398,0.299842277,-0.070409975,0.114727291,8.949377884,1,0.640908212,0.431159916,-0.326056993,1.015854098,-1.826764494,0.000776845,0.000625004,0.085912643
